state,district,market,arrival_date,modal_price
Gujarat,Ahmedabad,Dhandhuka,2020-01-03,5330.0
Gujarat,Ahmedabad,Dhandhuka,2020-01-04,5380.0
Gujarat,Ahmedabad,Dhandhuka,2020-01-06,5360.0
Gujarat,Ahmedabad,Dhandhuka,2020-01-07,5375.0
Gujarat,Ahmedabad,Dhandhuka,2020-01-08,5255.0
Gujarat,Ahmedabad,Dhandhuka,2020-01-09,5395.0
Gujarat,Ahmedabad,Dhandhuka,2020-01-10,5255.0
Gujarat,Ahmedabad,Dhandhuka,2020-01-11,5465.0
Gujarat,Ahmedabad,Dhandhuka,2020-01-13,5480.0
Gujarat,Ahmedabad,Dhandhuka,2020-01-15,5465.0
Gujarat,Ahmedabad,Dhandhuka,2020-01-16,5400.0
Gujarat,Ahmedabad,Dhandhuka,2020-01-17,5345.0
Gujarat,Ahmedabad,Dhandhuka,2020-01-18,5430.0
Gujarat,Ahmedabad,Dhandhuka,2020-01-20,5450.0
Gujarat,Ahmedabad,Dhandhuka,2020-01-21,5250.0
Gujarat,Ahmedabad,Dhandhuka,2020-01-22,5135.0
Gujarat,Ahmedabad,Dhandhuka,2020-01-23,5395.0
Gujarat,Ahmedabad,Dhandhuka,2020-01-24,5350.0
Gujarat,Ahmedabad,Dhandhuka,2020-01-25,5350.0
Gujarat,Ahmedabad,Dhandhuka,2020-01-27,5080.0
Gujarat,Ahmedabad,Dhandhuka,2020-01-28,5315.0
Gujarat,Ahmedabad,Dhandhuka,2020-01-29,5290.0
Gujarat,Ahmedabad,Dhandhuka,2020-01-30,4920.0
Gujarat,Ahmedabad,Dhandhuka,2020-01-31,4985.0
Gujarat,Ahmedabad,Dhandhuka,2020-02-03,4900.0
Gujarat,Ahmedabad,Dhandhuka,2020-02-04,5180.0
Gujarat,Ahmedabad,Dhandhuka,2020-02-05,5050.0
Gujarat,Ahmedabad,Dhandhuka,2020-02-06,5000.0
Gujarat,Ahmedabad,Dhandhuka,2020-02-07,5010.0
Gujarat,Ahmedabad,Dhandhuka,2020-02-08,4965.0
Gujarat,Ahmedabad,Dhandhuka,2020-02-10,4890.0
Gujarat,Ahmedabad,Dhandhuka,2020-02-11,5020.0
Gujarat,Ahmedabad,Dhandhuka,2020-02-12,4900.0
Gujarat,Ahmedabad,Dhandhuka,2020-02-13,5075.0
Gujarat,Ahmedabad,Dhandhuka,2020-02-14,5135.0
Gujarat,Ahmedabad,Dhandhuka,2020-02-15,4910.0
Gujarat,Ahmedabad,Dhandhuka,2020-02-18,4880.0
Gujarat,Ahmedabad,Dhandhuka,2020-02-19,4805.0
Gujarat,Ahmedabad,Dhandhuka,2020-02-20,4890.0
Gujarat,Ahmedabad,Dhandhuka,2020-02-22,4710.0
Gujarat,Ahmedabad,Dhandhuka,2020-02-25,4630.0
Gujarat,Ahmedabad,Dhandhuka,2020-02-26,4690.0
Gujarat,Ahmedabad,Dhandhuka,2020-02-27,4695.0
Gujarat,Ahmedabad,Dhandhuka,2020-02-28,5000.0
